number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
40,0.9428571428571428,2026-01-20 20:36:51.547050,2026-01-20 20:36:52.084071,0 days 00:00:00.537021,gini,12,log2,1,12,69,COMPLETE
41,0.9333333333333333,2026-01-20 20:36:52.085334,2026-01-20 20:36:52.368609,0 days 00:00:00.283275,entropy,11,log2,2,6,21,COMPLETE
42,0.9428571428571428,2026-01-20 20:36:52.369811,2026-01-20 20:36:52.720454,0 days 00:00:00.350643,entropy,8,log2,1,4,31,COMPLETE
43,0.9333333333333333,2026-01-20 20:36:52.722300,2026-01-20 20:36:53.215209,0 days 00:00:00.492909,entropy,11,log2,2,8,55,COMPLETE
44,0.9333333333333333,2026-01-20 20:36:53.217152,2026-01-20 20:36:53.426537,0 days 00:00:00.209385,entropy,13,log2,1,6,10,COMPLETE
45,0.9428571428571428,2026-01-20 20:36:53.429750,2026-01-20 20:36:53.804755,0 days 00:00:00.375005,entropy,10,sqrt,2,6,37,COMPLETE
46,0.9333333333333333,2026-01-20 20:36:53.806131,2026-01-20 20:36:54.847325,0 days 00:00:01.041194,entropy,18,log2,4,3,158,COMPLETE
47,0.9238095238095239,2026-01-20 20:36:54.848845,2026-01-20 20:36:55.360238,0 days 00:00:00.511393,gini,6,,8,9,49,COMPLETE
48,0.9333333333333333,2026-01-20 20:36:55.362880,2026-01-20 20:36:56.581382,0 days 00:00:01.218502,entropy,14,sqrt,10,8,190,COMPLETE
49,0.9333333333333333,2026-01-20 20:36:56.583208,2026-01-20 20:36:56.924512,0 days 00:00:00.341304,entropy,8,log2,5,20,27,COMPLETE
